ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1239,z,1.1803831447,0.5424361919,1520,2.1760774122,0.0297030358,0.05,0.1163804989,2.2443857905
1240,z,-0.215700965,0.8230887055,1520,-0.262062842,0.7933085028,0.05,-1.830210789,1.3988088582
1241,z,-0.129286655,0.8878412933,1520,-0.145619106,0.8842413922,0.05,-1.870810357,1.6122370472
1242,z,1.2577342415,0.7968836443,1520,1.5783160446,0.114701095,0.05,-0.305373675,2.8208421584
1243,z,-0.105094652,0.9074610931,1520,-0.115811744,0.9078170405,0.05,-1.8851031,1.6749137961
1244,z,-0.239886691,0.8060319059,1520,-0.297614387,0.766038163,0.05,-1.820939161,1.3411657777
1245,z,-0.161572414,0.8634472069,1520,-0.187124832,0.8515877318,0.05,-1.855246484,1.5321016558
1246,z,-0.171512447,0.8551722942,1520,-0.200558938,0.8410702992,0.05,-1.848955061,1.5059301668
1247,z,0.8287707913,0.6300955018,1520,1.3153098045,0.1886041788,0.05,-0.407177862,2.064719445
1248,z,-0.155833247,0.8671052386,1520,-0.179716648,0.8573989774,0.05,-1.85668264,1.5450161469
1249,z,-0.192556388,0.8395938885,1520,-0.229344676,0.8186318879,0.05,-1.839441556,1.4543287796
1250,z,1.274419771,0.5763170856,1520,2.211317004,0.0271622395,0.05,0.1439588743,2.4048806677
1251,z,-0.293480922,0.7706182804,1520,-0.380838256,0.703376489,0.05,-1.805068647,1.2181068033
1252,z,-0.264522444,0.7893283892,1520,-0.335123438,0.7375782154,0.05,-1.812810532,1.2837656446
1253,z,-0.259677265,0.7927689423,1520,-0.327557314,0.7432915091,0.05,-1.814714087,1.2953595573
1254,z,0.6778874441,0.5748381405,1520,1.1792666428,0.2384765653,0.05,-0.449672464,1.8054473518
1255,z,-0.039052409,0.963982159,1520,-0.040511547,0.9676906214,0.05,-1.929928392,1.8518235745
1256,z,1.1385296949,0.5338409208,1520,2.132713418,0.0331080857,0.05,0.091386896,2.1856724937
1257,z,-0.224044366,0.8173056351,1520,-0.274125562,0.784025378,0.05,-1.827210547,1.3791218146
1258,z,-0.250008658,0.7993007051,1520,-0.312784233,0.7544875027,0.05,-1.817857702,1.3178403863
1259,z,1.9506537921,0.6303318795,1520,3.0946456231,0.0020064237,0.05,0.7142414774,3.1870661067
1260,z,-0.154347922,0.8682961493,1520,-0.177759538,0.8589355107,0.05,-1.857533318,1.5488374735
1261,z,-0.180528511,0.8485928886,1520,-0.212738657,0.8315593392,0.05,-1.845065451,1.4840084283
1262,z,-0.163951164,0.8608963816,1520,-0.190442389,0.8489879145,0.05,-1.852621723,1.524719396
1263,z,-0.170074674,0.8561938812,1520,-0.198640376,0.8425706325,0.05,-1.849521158,1.5093718093
1264,z,1.83199819,0.600545584,1520,3.0505564252,0.0023236944,0.05,0.6540124658,3.0099839143
1265,z,0.8584231927,0.6394618943,1520,1.3424149278,0.1796619509,0.05,-0.395897883,2.112744268
1266,z,-0.191749111,0.8401814485,1520,-0.228223453,0.8195032274,0.05,-1.839786793,1.4562885708
1267,z,-0.166099015,0.8592402245,1520,-0.19330917,0.8467426719,0.05,-1.851520979,1.51932295
1268,z,0.7937630333,0.6172021677,1520,1.2860665028,0.1986157222,0.05,-0.416895011,2.0044210779
1269,z,-0.136558815,0.8820138564,1520,-0.154826156,0.8769789261,0.05,-1.866651848,1.5935342193
1270,z,-0.180924111,0.8482902424,1520,-0.213280905,0.8311364682,0.05,-1.844867402,1.4830191803
1271,z,1.3526744638,0.5967512686,1520,2.2667307721,0.0235466765,0.05,0.1821313876,2.5232175401
1272,z,-0.109815136,0.9035413644,1520,-0.121538582,0.9032805217,0.05,-1.882134935,1.6625046621
1273,z,0.8273408088,0.6298808673,1520,1.313487759,0.1892168692,0.05,-0.408186834,2.0628684512
1274,z,0.7420621458,0.5979795493,1520,1.240949037,0.2148160646,0.05,-0.430890235,1.9150145264
